,車種,車次,始發站,終點站,出發時間,抵達時間,行駛時間,經由,詳細資訊,全票,孩童票,敬老票,訂票
0,區間,2133,基隆,嘉義,05:03,05:38,35 分,山線,詳細,$ 32,$ 16,$ 16,
1,區間,1117,基隆,苗栗,05:29,06:04,35 分,山線,詳細,$ 32,$ 16,$ 16,
2,區間,1121,基隆,新竹,05:55,06:30,35 分,-,詳細,$ 32,$ 16,$ 16,
3,自強,105,基隆,屏東,06:12,06:48,36 分,山線,詳細,$ 50,$ 25,$ 25,
4,區間,2143,基隆,嘉義,06:17,06:54,37 分,山線,詳細,$ 32,$ 16,$ 16,
5,區間快,2007,基隆,二水,06:36,07:12,36 分,海線,詳細,$ 32,$ 16,$ 16,
6,區間,1127,基隆,苗栗,06:41,07:17,36 分,山線,詳細,$ 32,$ 16,$ 16,
7,區間,1129,基隆,北湖,07:00,07:36,36 分,-,詳細,$ 32,$ 16,$ 16,
8,區間,2153,基隆,嘉義,07:12,07:50,38 分,山線,詳細,$ 32,$ 16,$ 16,
9,區間,1135,基隆,北湖,07:24,08:00,36 分,-,詳細,$ 32,$ 16,$ 16,
10,區間,1137,基隆,苗栗,07:44,08:21,37 分,山線,詳細,$ 32,$ 16,$ 16,
11,區間,1141,基隆,新竹,07:56,08:33,37 分,-,詳細,$ 32,$ 16,$ 16,
12,自強,115,基隆,屏東,08:14,08:49,35 分,山線,詳細,$ 50,$ 25,$ 25,
13,區間,2163,基隆,嘉義,08:19,08:56,37 分,山線,詳細,$ 32,$ 16,$ 16,
14,區間,1147,基隆,苗栗,08:39,09:19,40 分,山線,詳細,$ 32,$ 16,$ 16,
15,區間,1151,基隆,新竹,08:52,09:28,36 分,-,詳細,$ 32,$ 16,$ 16,
16,區間,2173,基隆,嘉義,09:21,09:56,35 分,山線,詳細,$ 32,$ 16,$ 16,
17,自強3000,117,基隆,潮州,09:35,10:09,34 分,山線,詳細,$ 50,$ 25,$ 25,
18,區間,1157,基隆,苗栗,09:40,10:15,35 分,山線,詳細,$ 32,$ 16,$ 16,
19,區間,1161,基隆,新竹,10:00,10:35,35 分,-,詳細,$ 32,$ 16,$ 16,
20,區間,2183,基隆,嘉義,10:20,10:56,36 分,山線,詳細,$ 32,$ 16,$ 16,
21,區間,1167,基隆,北湖,10:45,11:20,35 分,-,詳細,$ 32,$ 16,$ 16,
22,區間,2193,基隆,嘉義,11:15,11:52,37 分,山線,詳細,$ 32,$ 16,$ 16,
23,區間,1177,基隆,苗栗,11:36,12:12,36 分,山線,詳細,$ 32,$ 16,$ 16,
24,區間,2203,基隆,嘉義,12:00,12:40,40 分,山線,詳細,$ 32,$ 16,$ 16,
25,區間,1191,基隆,新竹,12:26,13:01,35 分,-,詳細,$ 32,$ 16,$ 16,
26,區間,1187,基隆,苗栗,12:49,13:24,35 分,山線,詳細,$ 32,$ 16,$ 16,
27,區間,2213,基隆,嘉義,13:04,13:40,36 分,山線,詳細,$ 32,$ 16,$ 16,
28,自強,129,基隆,枋寮,13:14,13:47,33 分,山線,詳細,$ 50,$ 25,$ 25,訂票
29,區間,1197,基隆,苗栗,13:33,14:08,35 分,山線,詳細,$ 32,$ 16,$ 16,
30,區間,1201,基隆,新竹,13:57,14:33,36 分,-,詳細,$ 32,$ 16,$ 16,
31,區間,2223,基隆,嘉義,14:24,15:04,40 分,山線,詳細,$ 32,$ 16,$ 16,
32,區間,1207,基隆,苗栗,14:41,15:17,36 分,山線,詳細,$ 32,$ 16,$ 16,
33,區間,1211,基隆,新竹,14:55,15:30,35 分,-,詳細,$ 32,$ 16,$ 16,
34,區間,1217,基隆,苗栗,15:35,16:10,35 分,山線,詳細,$ 32,$ 16,$ 16,
35,區間,1221,基隆,新竹,16:00,16:36,36 分,-,詳細,$ 32,$ 16,$ 16,
36,區間,1227,基隆,苗栗,16:27,17:02,35 分,山線,詳細,$ 32,$ 16,$ 16,
37,區間,1231,基隆,新竹,16:41,17:22,41 分,-,詳細,$ 32,$ 16,$ 16,
38,區間,1233,基隆,湖口,17:02,17:38,36 分,-,詳細,$ 32,$ 16,$ 16,
39,區間,1235,基隆,新竹,17:22,18:05,43 分,-,詳細,$ 32,$ 16,$ 16,
40,區間,1237,基隆,苗栗,17:40,18:27,47 分,山線,詳細,$ 32,$ 16,$ 16,
41,區間,1243,基隆,湖口,18:02,18:38,36 分,-,詳細,$ 32,$ 16,$ 16,
42,自強,149,基隆,潮州,18:11,18:47,36 分,山線,詳細,$ 50,$ 25,$ 25,訂票
43,區間,1241,基隆,竹南,18:16,18:52,36 分,-,詳細,$ 32,$ 16,$ 16,
44,區間,1247,基隆,苗栗,18:36,19:12,36 分,山線,詳細,$ 32,$ 16,$ 16,
45,區間,1251,基隆,新竹,18:49,19:31,42 分,-,詳細,$ 32,$ 16,$ 16,
46,區間,1253,基隆,湖口,19:14,19:49,35 分,-,詳細,$ 32,$ 16,$ 16,
47,區間,1257,基隆,三義,19:41,20:19,38 分,山線,詳細,$ 32,$ 16,$ 16,
48,區間,1261,基隆,中壢,19:59,20:35,36 分,-,詳細,$ 32,$ 16,$ 16,
49,區間,1263,基隆,新竹,20:16,20:54,38 分,-,詳細,$ 32,$ 16,$ 16,
50,區間,1271,基隆,北湖,20:31,21:12,41 分,-,詳細,$ 32,$ 16,$ 16,
51,區間,1267,基隆,苗栗,20:55,21:35,40 分,山線,詳細,$ 32,$ 16,$ 16,
52,區間,1273,基隆,新竹,21:24,22:01,37 分,-,詳細,$ 32,$ 16,$ 16,
53,區間,1281,基隆,新竹,21:47,22:29,42 分,-,詳細,$ 32,$ 16,$ 16,
54,區間,1283,基隆,楊梅,22:20,22:56,36 分,-,詳細,$ 32,$ 16,$ 16,
55,區間,1287,基隆,中壢,22:43,23:19,36 分,-,詳細,$ 32,$ 16,$ 16,
56,區間,1289,基隆,樹林,23:03,23:39,36 分,-,詳細,$ 32,$ 16,$ 16,
